All ingredients in cryoprotective solution,DMSO usage,Cooling rate,Viability,Recovery,Doubling time,Comments about method,Comments about results,Source (DOI link),Protective protein type,Protective protein concentration,Non-reducing sugar type,Non-reducing sugar concentration,PEG weight,PEG concentration,Alternative CPA type,Alternative CPA concentration,Basal medium,DMSO_pct,Ethylene_Glycol_pct,Ethylene_Glycol_mM,Propylene_Glycol_pct,Glycerol_pct,Trehalose_mM,Sucrose_mM,Glucose_mM,Mannitol_mM,Raffinose_mM,FBS_pct,FCS_pct,Human_Serum_pct,HSA_pct,BSA_pct,Albumin_pct,PVP_pct,PEG_pct,HES_pct,Dextran_pct,Ficoll_pct,Taurine_mM,Ectoine_pct,Proline_pct,Isoleucine_mM,Creatine_mM,Methylcellulose_pct,ROCKi_uM,S1P_uM,Polyampholyte_mgml,COOH_PLL_pct,Sericin_pct,Betaine_pct,cooling_min_rate_C_per_min,cooling_max_rate_C_per_min,cooling_avg_rate_C_per_min,cooling_method,cooling_controlled,Viability_numeric,Recovery_numeric
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,,
E8 medium + 50% KnockOut Serum Replacement + 10% DMSO + 10 μM ROCK Inhibitor,10%,-1°C/min to -80°C (CoolCell container),"~80% (membrane integrity), ~41% (metabolic assay)",Not mentioned,Not mentioned,"Conventional freezing in CoolCell, -1°C/min, cryovials",Baseline viability; no significant difference from bottom-up at 10% DMSO,https://doi.org/10.1002/btpr.70019,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,passive_cooling,0,0.8,
E8 medium + 50% KnockOut Serum Replacement + 10% DMSO + 10 μM ROCK Inhibitor,10%,"90 s nucleation at -80°C, then -1°C/min from -5°C to -80°C","~80% (membrane integrity), ~41% (metabolic assay)",Not mentioned ,Not mentioned,"Bottom-up freezing in CELL equipment, 90 s nucleation, -1°C/min, cryovials",Similar viability to conventional at 10% DMSO; differentiation unaffected,https://doi.org/10.1002/btpr.70019,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,slow_freeze,0,0.8,
E8 medium + 50% KnockOut Serum Replacement + 5% DMSO + 10 μM ROCK Inhibitor,5%,"90 s nucleation at -80°C, then -1°C/min from -5°C to -80°C","~75% (membrane integrity), ~53% (metabolic assay)",Not mentioned,Not mentioned,"Bottom-up freezing in CELL equipment, 90 s nucleation, -1°C/min, cryovials",Higher metabolic viability (53%) than conventional (41%) at 5% DMSO,https://doi.org/10.1002/btpr.70019,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,slow_freeze,0,0.75,
E8 medium + 50% KnockOut Serum Replacement + 5% DMSO + 10 μM ROCK Inhibitor,5%,"90 s nucleation at -80°C, then -2°C/min from -5°C to -80°C","~87% (membrane integrity), ~62% (metabolic assay)",Not mentioned,Not mentioned,"Bottom-up freezing in CELL equipment, 90 s nucleation, -2°C/min, cryovials","Optimal viability (87% membrane, 62% metabolic), 7–21% improvement over conventional",https://doi.org/10.1002/btpr.70019,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,slow_freeze,0,0.87,
E8 medium + 50% KnockOut Serum Replacement + 5% DMSO + 10 μM ROCK Inhibitor,5%,"90 s nucleation at -80°C, then -2°C/min from -5°C to -80°C","69% (membrane integrity), 31% (metabolic assay",Not mentioned,Not mentioned,"Bottom-up freezing in CELL equipment, 90 s nucleation, -2°C/min, 30 mL CryoMACS bags","Lower viability in bags (69% membrane, 31% metabolic) but 9–8% better than conventional",https://doi.org/10.1002/btpr.70019,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,slow_freeze,0,0.69,
E8 medium + 50% KnockOut Serum Replacement + 5% DMSO + 10 μM ROCK Inhibitor,5%,Direct placement at -80°C (uncontrolled rate),"60% (membrane integrity), 23% (metabolic assay)",Not mentioned,Not mentioned,"Conventional freezing, direct -80°C, 30 mL CryoMACS bags","Lowest viability in bags (60% membrane, 23% metabolic)",https://doi.org/10.1002/btpr.70019,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,direct_plunge,0,0.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,,
90% FBS and 10% DMSO,10%,"-1°C/min to -80°C (Mr Frosty container), then transferred to LN2","0 h: 93.8–98.4% (M7: 93.8%, M4/M6 higher but not significant)
",Not mentioned,Not mentioned,"Cryopreservation in 90% FBS + 10% DMSO, -1°C/min in Mr Frosty container, cryovials, stored in LN2 for ≥1 week, thawed at 40°C for 1 min, DMSO diluted in warm medium","Viability drops significantly at 2–4 h post-thaw (88.4–95.8%) compared to fresh (98.4–99.2%), recovers at 24 h (93.1–97.6%); apoptosis increases (5.3–21.2% vs. 1–4% fresh), decreases at 24 h; metabolic activity and adhesion lower than fresh at all time points; proliferation unaffected; CFUF reduced for M6/M7; differentiation variable (M4: higher adipogenic/osteogenic, M6: higher adipogenic, M7: lower adipogenic/osteogenic); CD90 expression drops below 95% at 4–24 h in M4/M6",https://doi.org/10.1186/s13287-020-02067-5,,,,,,,,,,0.1,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,passive_cooling,0,0.9840000000000001,
90% FBS and 10% DMSO,10%,"-1°C/min to -80°C (Mr Frosty container), then transferred to LN2","2 h: 88.8–92.8% (M4: 88.8%, M6: 92.1%, M7: 92.8%)
",Not mentioned,Not mentioned,,,,,,,,,,,,,0.1,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,passive_cooling,0,0.9279999999999999,
90% FBS and 10% DMSO,10%,"-1°C/min to -80°C (Mr Frosty container), then transferred to LN2","4 h: 88.4–95.8% (M4: 88.4%, M6: 95.8%, M7: 90.7%)
",Not mentioned,Not mentioned,,,,,,,,,,,,,0.1,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,passive_cooling,0,0.958,
90% FBS and 10% DMSO,10%,"-1°C/min to -80°C (Mr Frosty container), then transferred to LN2","24 h: 93.1–97.6% (M4: 93.1%, M6: 97.6%, M7: 94.3%)
Pre-freeze (fresh): 98.4–99.2% (M4: 99.1%, M6: 99.2%, M7: 98.4%)",Not mentioned,Not mentioned,,,,,,,,,,,,,0.1,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,passive_cooling,0,0.976,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,,
,10%,"-1°C/min to -80°C (CoolCell container), then transferred to liquid nitrogen","1 month: ~55% (day 0), ~60% (day 7); 3 months: ~65% (day 0), ~70% (day 7)",Not mentioned ,Not mentioned ,"HDFs cryopreserved in FBS + 10% DMSO, -1°C/min in CoolCell, stored in liquid nitrogen for 1 or 3 months, thawed at 37°C, directly seeded","Highest viability (~55–70% over 1–3 months), live cell numbers increase by 0.5–1.0 × 10^5 by day 7; good cell attachment; retains spindle-shaped morphology; high Col-1 (100%), Ki67 (~90%) expression",https://doi.org/10.1186/s12860-024-00519-2,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,passive_cooling,0,0.55,
FBS + 10% DMSO,10%,"-1°C/min to -80°C (CoolCell container), then transferred to liquid nitrogen","1 month: ~50% (day 0), ~55% (day 7); 3 months: ~60% (day 0), ~65% (day 7)",Not mentioned ,Not mentioned ,"HDFs cryopreserved in FBS + 10% DMSO, -1°C/min in CoolCell, stored in liquid nitrogen for 1 or 3 months, thawed at 37°C, centrifuged (5000 rpm, 5 min) before seeding","High viability (~50–65%), live cell numbers increase by 0.3–0.5 × 10^5 by day 7; good attachment; retains morphology; highest Ki67 (97.3% at 3 months), Col-1 (100%) expression",https://doi.org/10.1186/s12860-024-00519-2,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,passive_cooling,0,0.5,
FBS + 10% DMSO,10%,"-1°C/min to -80°C (CoolCell container), then transferred to liquid nitrogen","1 month: ~35% (day 0), ~40% (day 7); 3 months: ~30% (day 0), ~35% (day 7)",Not mentioned ,Not mentioned ,"HDFs cryopreserved in HPL + 10% DMSO, -1°C/min in CoolCell, stored in liquid nitrogen for 1 or 3 months, thawed at 37°C, directly seeded","Moderate viability (~30–40%), lower live cell numbers (1.5–3.5 × 10^5); clumping observed; retains morphology; lower Col-1 (~80%), Ki67 (~85%) expression",https://doi.org/10.1186/s12860-024-00519-2,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,passive_cooling,0,0.35,
HPL + 10% DMSO,10%,"-1°C/min to -80°C (CoolCell container), then transferred to liquid nitrogen","1 month: ~30% (day 0), ~35% (day 7); 3 months: ~25% (day 0), ~30% (day 7)",Not mentioned ,Not mentioned ,"HPL cryopreserved in HPL + 10% DMSO, -1°C/min in CoolCell, stored in liquid nitrogen for 1 or 3 months, thawed at 37°C, centrifuged (5000 rpm, 5 min) before seeding","Low viability (~25–35%), lower live cell numbers (1.0–3.0 × 10^5); clumping; retains morphology; lower Col-1 (~80%), Ki67 (~85%) expression",https://doi.org/10.1186/s12860-024-00519-2,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,passive_cooling,0,0.3,
HPL + 10% DMSO,10%,"-1°C/min to -80°C (CoolCell container), then transferred to liquid nitrogen","1 month: ~25% (day 0), ~30% (day 7); 3 months: ~20% (day 0), ~25% (day 7)",Not mentioned ,Not mentioned ,"HDFs cryopreserved in CryoStor, -1°C/min in CoolCell, stored in liquid nitrogen for 1 or 3 months, thawed at 37°C, directly seeded","Lowest viability (~20–30%), lowest live cell numbers (1.0–2.5 × 10^5); poor attachment; retains morphology; lowest Col-1 (~70%), Ki67 (~80%) expression",https://doi.org/10.1186/s12860-024-00519-2,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,passive_cooling,0,0.25,
CryoStor,Not mentioned,"-1°C/min to -80°C (CoolCell container), then transferred to liquid nitrogen","month: ~20% (day 0), ~25% (day 7); 3 months: ~15% (day 0), ~20% (day 7)",Not mentioned ,Not mentioned,"HDFs cryopreserved in CryoStor, -1°C/min in CoolCell, stored in liquid nitrogen for 1 or 3 months, thawed at 37°C, centrifuged (5000 rpm, 5 min) before seeding","Lowest viability (~15–25%), lowest live cell numbers (1.0–2.0 × 10^5); poor attachment; retains morphology; lowest Col-1 (~70%), Ki67 (~80%) expression",https://doi.org/10.1186/s12860-024-00519-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,passive_cooling,0,0.2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,,
FCS + 10% DMSO,10%,"-1°C/min to -180°C (slow freezing in freezing container), stored in liquid nitrogen",Intact spheres: ~39.7% (87.2/219.5),Not mentioned ,Not mentioned,"ENSdN cryopreserved in 90% FCS + 10% DMSO, slow freezing at -1°C/min in a freezing container, stored in liquid nitrogen for 2 weeks, thawed at 37°C in culture medium","Viability ~39.7% (intact spheres),  no significant change in protein expression; slight increase in Sox2 mRNA; no change in calcium response to stimuli; significant increase in nicotine-responsive cells (48.7% vs. 29.6%)",https://doi.org/10.3389/fcell.2022.832377,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,slow_freeze,0,0.397,
FCS + 10% DMSO,10%,"-1°C/min to -180°C (slow freezing in freezing container), stored in liquid nitrogen",Dissociated cells: ~45.7% (2635.2/5760.5),Not mentioned ,Not mentioned,"ENSdN cryopreserved in 90% FCS + 10% DMSO, slow freezing at -1°C/min in a freezing container, stored in liquid nitrogen for 2 weeks, thawed at 37°C in culture medium",Viability ~45.7% (dissociated cells); no significant change in protein expression; slight increase in Sox2 mRNA; no change in calcium response to stimuli; significant increase in nicotine-responsive cells (48.7% vs. 29.6%),https://doi.org/10.3389/fcell.2022.832377,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,slow_freeze,0,0.457,
FCS + 10% DMSO,10%,"-1°C/min to -180°C (slow freezing in freezing container), stored in liquid nitrogen",Intact spheres: ~40.2% (88.2/219.5),Not mentioned ,Not mentioned,"ENSdN cryopreserved in 20% FCS + 70% culture medium + 10% DMSO, slow freezing at -1°C/min in a freezing container, stored in liquid nitrogen for 2 weeks, thawed at 37°C in culture medium","Viability ~40.2% (intact spheres), significant upregulation of Nanog protein; significant increase in ß-TubulinIII mRNA; calcium response not tested",https://doi.org/10.3389/fcell.2022.832377,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,slow_freeze,0,0.402,
FCS + 10% DMSO,10%,"-1°C/min to -180°C (slow freezing in freezing container), stored in liquid nitrogen", Dissociated cells: ~48.5% (2795.3/5760.5),Not mentioned ,Not mentioned,"ENSdN cryopreserved in 20% FCS + 70% culture medium + 10% DMSO, slow freezing at -1°C/min in a freezing container, stored in liquid nitrogen for 2 weeks, thawed at 37°C in culture medium",Viability  ~48.5% (dissociated cells); significant upregulation of Nanog protein; significant increase in ß-TubulinIII mRNA; calcium response not tested,https://doi.org/10.3389/fcell.2022.832377,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,slow_freeze,0,0.485,
Culture medium + 10% DMSO,10%,"-1°C/min to -180°C (slow freezing in freezing container), stored in liquid nitrogen",Intact spheres: ~27.3% (60.0/219.5),Not mentioned ,Not mentioned,"ENSdN cryopreserved in 90% culture medium + 10% DMSO, slow freezing at -1°C/min in a freezing container, stored in liquid nitrogen for 2 weeks, thawed at 37°C in culture medium","Viability ~27.3% (intact spheres), significant upregulation of PGP9.5, ß-TubulinIII, GFAP, S100, p75, Nestin, Sox2 mRNA; significant upregulation of Oct4, S100 protein; calcium response not tested",https://doi.org/10.3389/fcell.2022.832377,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,slow_freeze,0,0.273,
Culture medium + 10% DMSO,10%,"-1°C/min to -180°C (slow freezing in freezing container), stored in liquid nitrogen",Dissociated cells: ~59.5% (3425.0/5760.5),Not mentioned ,Not mentioned,"ENSdN cryopreserved in 90% culture medium + 10% DMSO, slow freezing at -1°C/min in a freezing container, stored in liquid nitrogen for 2 weeks, thawed at 37°C in culture medium","Viability ~59.5% (dissociated cells); significant upregulation of PGP9.5, ß-TubulinIII, GFAP, S100, p75, Nestin, Sox2 mRNA; significant upregulation of Oct4, S100 protein; calcium response not tested",https://doi.org/10.3389/fcell.2022.832377,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,slow_freeze,0,0.595,
StemCell Keep,0%,Flash-freezing (vitrification) in liquid nitrogen,Intact spheres: ~3.3% (7.3/219.5),Not mentioned,Not mentioned,"ENSdN cryopreserved in StemCell Keep™, flash-freezing (vitrification) in liquid nitrogen, stored for 2 weeks, thawed by adding 37°C culture medium",Viability ~ 0% (dissociated cells); significant increase in p75 mRNA; protein expression not assessed due to low survival; calcium response not tested,https://doi.org/10.3389/fcell.2022.832377,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,direct_plunge,0,0.033,
StemCell Keep,0%,Flash-freezing (vitrification) in liquid nitrogen,Dissociated cells: 0%,Not mentioned,Not mentioned,"ENSdN cryopreserved in StemCell Keep™, flash-freezing (vitrification) in liquid nitrogen, stored for 2 weeks, thawed by adding 37°C culture medium","Viability ~3.3% (intact spheres), 0% (dissociated cells); significant increase in p75 mRNA; protein expression not assessed due to low survival; calcium response not tested",https://doi.org/10.3389/fcell.2022.832377,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,direct_plunge,0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,,
5% DMSO + plasma replacement fluid,5%,"Controlled rate freezing (not specified), stored at ≤–150°C in vapor phase of liquid nitrogen",>80%,Neutrophil: 90% (median 17 days); Platelet: 95% (median 14 days),Not Mentioned,"MRD HSCs cryopreserved in 5% DMSO + plasma, controlled rate freezing, stored ≤–150°C vapor phase LN2 (median 11 days), thawed at 37°C for 5 min, infused immediately","No significant difference in neutrophil/platelet engraftment rates/times vs. non-cryo; 1-year OS 53% (vs. 60%, p=0.54)",https://doi.org/10.21873/invivo.13565,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,controlled_rate,1,0.8,0.9
5% DMSO + plasma replacement fluid,5%,"Controlled rate freezing (not specified), stored at ≤–150°C in vapor phase of liquid nitrogen",>80%,Neutrophil: 95% (median 19 days); Platelet: 81% (median 17 days),Not Mentioned,"MUD HSCs cryopreserved in 5% DMSO + plasma, controlled rate freezing, stored ≤–150°C vapor phase LN2 (median 11 days), thawed at 37°C for 5 min, infused immediately","No significant difference in neutrophil engraftment/times; lower platelet engraftment rate (81% vs. 96%, p=0.01); 1-year OS 60% (vs. 66%, p=0.5)",https://doi.org/10.21873/invivo.13565,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,controlled_rate,1,0.8,0.95
5% DMSO + plasma replacement fluid,5%,"Controlled rate freezing (not specified), stored at ≤–150°C in vapor phase of liquid nitrogen",>80%,Neutrophil: 67% (median 22 days); Platelet: 50% (median 21 days),Not Mentioned,"HID HSCs cryopreserved in 5% DMSO + plasma, controlled rate freezing, stored ≤–150°C vapor phase LN2 (median 11 days), thawed at 37°C for 5 min, infused immediately","No significant difference in engraftment rates/times; 1-year OS 50% (vs. 41%, p=0.56)",https://doi.org/10.21873/invivo.13565,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,controlled_rate,1,0.8,0.67
Not specified (fresh HSCs),0%,"No freezing (fresh, stored/transported at 2-8°C or room temperature)",>80%,Neutrophil: 98% (median 16 days); Platelet: 98% (median 14 days),Not Mentioned,"MRD fresh HSCs (PBSCs), stored/transported at 2-8°C or room temp, infused within 72 h",Baseline for MRD fresh; high engraftment rates (98%); 1-year OS 60%,https://doi.org/10.21873/invivo.13565,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slow_freeze,0,0.8,0.98
Not specified (fresh HSCs),0%,"No freezing (fresh, stored/transported at 2-8°C or room temperature)",>80%,Neutrophil: 96% (median 18 days); Platelet: 96% (median 17 days),Not Mentioned,"MUD fresh HSCs (PBSCs), stored/transported at 2-8°C or room temp, infused within 72 h",Baseline for MUD fresh; high engraftment rates (96%); 1-year OS 66%,https://doi.org/10.21873/invivo.13565,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slow_freeze,0,0.8,0.96
Not specified (fresh HSCs),0%,"No freezing (fresh, stored/transported at 2-8°C or room temperature)",>80%,Neutrophil: 84% (median 22 days); Platelet: 69% (median 19 days,Not Mentioned,"HID fresh HSCs (PBSCs), stored/transported at 2-8°C or room temp, infused within 72 h",Baseline for HID fresh; engraftment rates 84%/69%; 1-year OS 41%,https://doi.org/10.21873/invivo.13565,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slow_freeze,0,0.8,0.84
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,,
5% trehalose + 2.5% dextran in DMEM,0%,"Slow freezing (rate not specified, stored at -195°C in liquid nitrogen)","Pre-cryopreservation (0.25 MPa, 5 min): 250 mM trehalose: ~100% (day 3)",Not mentioned ,Not mentioned ,"Trehalose delivered via ultrasound + microbubbles (UMT) at 0.25 MPa, 5 min exposure; cells cryopreserved for ≥4 weeks
Standard MSC cryopreservation protocol; no UMT treatment for this cryosoup","Effective CPA, maintains viability and pluripotency; higher trehalose concentrations (250–750 mM) optimal
Higher percentage of dead cells at 0 mM trehalose compared to trehalose + dextran; DMSO is cytotoxic",https://doi.org/10.1038/s44172-024-00239-0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,,,slow_freeze,0,1.0,
5% trehalose + 2.5% dextran in DMEM,0%,"Slow freezing (rate not specified, stored at -195°C in liquid nitrogen)","750 mM: ~80% (day 3)
","750 mM trehalose: Significantly higher than 0 mM (Fig. 5d, no exact numbers)",Not mentioned ,"Trehalose delivered via ultrasound + microbubbles (UMT) at 0.25 MPa, 5 min exposure; cells cryopreserved for ≥4 weeks
Standard MSC cryopreservation protocol; no UMT treatment for this cryosoup","Effective CPA, maintains viability and pluripotency; higher trehalose concentrations (250–750 mM) optimal
Higher percentage of dead cells at 0 mM trehalose compared to trehalose + dextran; DMSO is cytotoxic",https://doi.org/10.1038/s44172-024-00239-0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,,,slow_freeze,0,0.8,
10% DMSO + 90% FBS,10%,"Slow freezing (rate not specified, stored at -195°C in liquid nitrogen)","Pre-cryopreservation: Not treated with UMT; Post-cryopreservation (10% DMSO + 90% FBS): Comparable to control (day 3), increased density (day 5, Fig. 5b, c, no exact numbers)",Not mentioned ,Not mentioned ,,,,,,,,,,,,,0.1,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,slow_freeze,0,0.1,
,,,,,,,,,FBS,HSA,BSA,GLY Conc,PEG Concentration,PEG Weight,,EG Concentration,PBS or DMEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,0,,
"1M DMSO, 1M acetamide, 3M Propylene glycol in PBS",20%,-4.9°C/min    ,77%,Not mentioned ,Not mentioned ,"MSC monolayers were first cultured in Equilibrium solution for 10 mins before vitrification. Vitrification solution added for 5 mins, removed by aspiration. Warmed by added warm rewarming solution. Trypan blue exclusion for quantitative viability after dispersal. Annexin V-FITC / PI staining to assess apoptosis vs necrosis. Cell Counting Kit-8 (CCK-8) for cell proliferation (read at 450 nm).","COOH-PLL (polyampholyte) strongly stabilised the glassy state, reduced devitrification and cytotoxicity, and inhibited apoptosis. P-VS (EG + sucrose + 10% COOH-PLL) produced the best outcomes: lowest apoptosis (Annexin V), highest viability after warming and 1 day culture, and preserved proliferation and osteogenic/adipogenic differentiation. Slow vitrification (even at 4.9 °C/min) became feasible with COOH-PLL — advantage for fragile 2D constructs because it avoids mechanical stresses of direct immersion.",DOI: 10.1021/acsbiomaterials.6b00150,Use in cell culture and differentation media,Not used,Not used ,Not used ,Not used ,,,Not used ,PBS ,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,4.9,4.9,slow_freeze,0,0.77,
"6.5M EG, 0.5M Sucrose in PBS",0%,-4.9°C/min    ,50%,Not mentioned ,Not mentioned ,,,,Use in cell culture and differentation media,Not used,Not used ,Not used ,Not used ,,,6.5M,PBS ,0.0,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,4.9,4.9,slow_freeze,0,0.5,
"6.5M EG, 10% (wt) COOH-PLL, 0.5M Sucrose in PBS",0%,-4.9°C/min    ,95%,Not mentioned ,Not mentioned ,,,,Use in cell culture and differentation media,Not used,Not used ,Not used ,Not used ,,,6.5M,PBS ,0.0,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,4.9,4.9,4.9,slow_freeze,0,0.95,
"1M DMSO, 1M acetamide, 3M Propylene glycol in PBS",20%,-10.8°C/min    ,85%,Not mentioned ,Not mentioned ,,,,Use in cell culture and differentation media,Not used,Not used ,Not used ,Not used ,,,Not used ,PBS ,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,10.8,10.8,slow_freeze,0,0.85,
"6.5M EG, 0.5M Sucrose in PBS",0%,-10.8°C/min    ,95%,Not mentioned ,Not mentioned ,,,,Use in cell culture and differentation media,Not used,Not used ,Not used ,Not used ,,,6.5M,PBS ,0.0,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,10.8,10.8,slow_freeze,0,0.95,
"6.5M EG, 10% (wt) COOH-PLL, 0.5M Sucrose in PBS",0%,-10.8°C/min    ,100%,Not mentioned ,Not mentioned ,,,,Use in cell culture and differentation media,Not used,Not used ,Not used ,Not used ,,,6.5M,PBS ,0.0,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,10.8,10.8,10.8,slow_freeze,0,1.0,
"1M DMSO, 1M acetamide, 3M Propylene glycol in PBS",20%,-20.4°C/min    ,85%,Not mentioned ,Not mentioned ,,,,Use in cell culture and differentation media,Not used,Not used ,Not used ,Not used ,,,Not used ,PBS ,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,20.4,20.4,slow_freeze,0,0.85,
"6.5M EG, 0.5M Sucrose in PBS",0%,-20.4°C/min    ,98%,Not mentioned ,Not mentioned ,,,,Use in cell culture and differentation media,Not used,Not used ,Not used ,Not used ,,,6.5M,PBS ,0.0,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,20.4,20.4,slow_freeze,0,0.98,
"6.5M EG, 10% (wt) COOH-PLL, 0.5M Sucrose in PBS",0%,-20.4°C/min    ,100%,Not mentioned ,Not mentioned ,,,,Use in cell culture and differentation media,Not used,Not used ,Not used ,Not used ,,,6.5M,PBS ,0.0,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,20.4,20.4,20.4,slow_freeze,0,1.0,
"1M DMSO, 1M acetamide, 3M Propylene glycol in PBS",20%,-34.5°C/min    ,85%,Not mentioned ,Not mentioned ,,,,Use in cell culture and differentation media,Not used,Not used ,Not used ,Not used ,,,Not used ,PBS ,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5,34.5,34.5,slow_freeze,0,0.85,
"6.5M EG, 0.5M Sucrose in PBS",0%,-34.5°C/min    ,98%,Not mentioned ,Not mentioned ,,,,Use in cell culture and differentation media,Not used,Not used ,Not used ,Not used ,,,6.5M,PBS ,0.0,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5,34.5,34.5,slow_freeze,0,0.98,
